date,lat,lng,link_count
2025-06-17,39.8797079,-82.825521,2
2025-06-09,42.0660499,-88.0167406,2
2025-06-13,42.0660499,-88.0167406,3
2025-06-11,41.5668697,-81.5725229,2
2025-07-03,26.9635947,-82.353392,2
2025-06-15,39.7713348,-86.1543633,2
2025-06-28,26.5803705,-81.8388297,2
2025-06-14,40.6073818,-75.4781662,2
2025-06-12,39.6696322,-104.9330448,2
2025-06-12,39.7144889,-82.604314,2
2025-06-10,43.0810666,-88.0180506,2
2025-06-25,26.9516306,-82.3528339,2
2025-06-12,35.7193808,-79.1668682,2
2025-06-11,41.5024516,-74.013145,2
2025-06-15,42.3991718,-71.1240559,2
2025-06-14,45.5154641,-122.6730793,2
2025-07-22,40.7851073,-77.7609543,2
2025-06-14,44.1018782,-69.1093409,2
2025-07-05,39.7528765,-77.5728227,2
2025-06-13,40.7108068,-74.0074021,2
2025-06-15,27.9601054,-82.44403,2
2025-06-09,42.3376346,-83.0210947,2
2025-06-14,45.6454903,-122.6022216,2
2025-06-14,47.6791948,-122.1970221,2
2025-06-10,34.1280759,-84.448772,3
2025-06-09,41.5668697,-81.5725229,2
2025-06-14,34.2367745,-111.322175,2
2025-06-09,36.0922661,-80.252992,2
2025-06-09,42.4122665,-83.1604435,2
2025-06-28,36.1708875,-86.787589,2
2025-06-24,39.6436555,-86.8655415,2
2025-06-11,43.1527454,-77.5838816,2
2025-06-14,42.350008,-71.0765558,2
2025-06-19,38.9986971,-84.6181932,2
2025-06-12,35.5786888,-82.5943658,2
2025-06-15,40.7264295,-73.9817841,2
2025-06-14,41.9847354,-73.4222555,2
2025-06-14,39.9622266,-83.0006437,2
2025-06-24,40.7497802,-73.8854451,2
2025-06-14,41.2384324,-85.8534304,2
2025-06-12,45.5272177,-122.6088886,2
2025-06-15,38.5110686,-122.8003264,2
2025-06-09,43.1529062,-77.5838448,3
2025-06-13,38.5130134,-89.985161,2
2025-07-19,45.5227536,-122.6699971,2
2025-06-09,40.7766412,-73.9521468,2
2025-06-14,39.0421567,-94.5880326,2
2025-06-14,41.5541088,-70.61951,2
2025-07-05,30.229045,-93.2123484,2
2025-06-12,21.3946322,-157.7434198,2
2025-06-10,44.0382672,-92.460462,2
2025-06-14,37.6181995,-122.485361,2
2025-06-14,37.686021,-97.335578,2
2025-06-14,33.0229237,-117.0744276,2
2025-06-14,44.6237665,-73.1223093,2
2025-06-14,38.0133456,-122.2727988,2
2025-06-11,30.2680793,-97.7484097,2
2025-06-15,30.3568213,-97.730807,2
2025-06-14,39.7133519,-82.5988827,3
2025-06-13,30.1108894,-97.3110958,2
2025-06-14,34.1621915,-118.0529948,2
2025-06-14,41.6495389,-83.5333487,2
2025-06-14,43.0748174,-89.3981534,2
2025-06-14,40.7528244,-73.9813707,2
2025-06-14,25.7776071,-80.1877094,3
2025-06-14,29.7875938,-95.8238211,2
2025-06-14,44.0846113,-103.242718,2
2025-06-14,44.3671406,-100.3463686,2
2025-06-14,39.9596806,-75.6052348,2
2025-06-14,40.233338,-111.6669816,2
2025-06-14,29.645316,-82.33228,2
2025-06-14,45.2839994,-93.564818,3
2025-06-14,38.8708705,-78.5262639,2
2025-06-14,41.4178759,-82.6698864,2
2025-06-14,46.5857478,-112.0184292,2
2025-06-14,42.027247,-88.0799923,2
2025-06-14,34.0537136,-118.2426533,3
2025-06-14,33.9749701,-118.0339141,4
2025-06-14,45.484275,-122.8038208,2
2025-06-14,29.0280746,-81.3034302,3
2025-06-14,28.5515741,-81.7695796,3
2025-06-14,38.4388918,-122.6872036,2
2025-06-14,45.2662894,-122.6769682,2
2025-06-21,38.8677444,-77.2378641,2
2025-06-14,33.3848687,-111.9012047,3
2025-06-09,39.9556241,-75.1647529,2
2025-06-14,38.5777886,-121.4932039,3
2025-06-14,55.3416624,-131.6426622,2
2025-06-14,37.7980284,-122.2673383,3
2025-06-14,37.6707529,-122.462943,2
2025-06-14,37.9955332,-121.3168113,2
2025-06-14,29.1867234,-82.1365127,2
2025-06-14,32.2201604,-98.2022892,2
2025-06-14,30.4381359,-84.2813118,2
2025-06-14,44.836167,-93.5995225,2
2025-06-14,42.6781539,-70.8370874,3
2025-06-14,27.0106247,-82.1410084,2
2025-06-14,33.4481438,-112.0945478,2
2025-06-14,38.301672,-122.2829648,2
2025-06-14,40.6947166,-80.3085079,2
2025-06-14,29.7974378,-98.7330117,2
2025-06-14,35.6822308,-105.9394865,2
2025-06-14,47.6565767,-122.3127173,2
2025-06-14,47.6164785,-122.3191799,3
2025-06-14,35.1990254,-111.6512016,5
2025-06-14,32.2498584,-80.8533091,2
2025-06-14,29.0147078,-80.9417303,2
2025-06-14,42.8082034,-70.8747971,2
2025-06-14,27.1010661,-82.4446316,2
2025-06-09,40.6681669,-73.9800645,3
2025-06-14,44.4911044,-103.8592703,2
2025-06-14,28.9090975,-81.9697992,2
2025-06-14,30.4525983,-91.1847952,2
2025-06-14,41.7708796,-88.1523741,2
2025-06-14,37.9734231,-122.5277292,2
2025-06-14,33.2204414,-96.6387592,2
2025-06-14,39.7687106,-86.1628562,2
